Chemical.Number,Chemical.Name,Chemical.CAS,Chemical.Class,Peak_Frequency_up,Peak_Frequency_dn,Peak_Decay_Rise_Ratio_up,Peak_Frequency_zero,Total_Cells_zero,Risk.lable
53,Butralin,33629-47-9,Herbicide,0.124192,1338.435,297.6795,34998.75,2046.775,
54,Paclobutrazol,76738-62-0,Herbicide,0.1647855,401.332,53.85315,8664.71,245.878,
55,Diclofenac_sodium,15307-79-6,Pharmaceutical,495.6675,40.09025,210.956,2449.455,683.445,
56,Flumioxazin,103361-09-7,Herbicide,349.7385,1000,1000,33645.05,686.868,
57,4-Heptylphenol,1987-50-4,Chemical intermediate,377.7055,78.7828,519.8995,7870.465,605.9135,
58,4-Chlorophenyl_methyl_sulfide,123-09-1,Other,0.06856915,872.85,268.2745,36457.7,2165.33,
59,Dimethipin,55290-64-7,Herbicide,48.05545,1290.07,1286.73,49671.4,1510.275,
60,Tripropylene_glycol_monomethyl_ether,25498-49-1,Solvent,1000,360.454,478.803,46845.5,2246.22,
61,Cyfluthrin,68359-37-5,Pesticide,84.363,0.000773298,1265.3,695483,2744.425,
62,Sethoxydim,74051-80-2,Herbicide,0.00656633,230.9195,21.4806,7362.665,409.347,
63,Oxazepam,604-75-1,Pharmaceutical,10.45345,241.831,56.63945,8034.915,305.745,
64,Sodium_dehydroacetate,4418-26-2,Plasticizer,429.7195,1005.57,149.712,40463.6,3590.11,
65,alpha-Cyclodextrin,10016-20-3,Food flavor fragrance,238.4685,407.944,122.9355,31883.8,2885.47,
66,1-Tridecanol,112-70-9,Food flavor fragrance,4.91459,13.7337,7.217125,96.18855,205.6615,
67,Bifenthrin,82657-04-3,Pesticide,28.53375,9.043115,349.3405,2021.935,448.7925,
68,"6,2_Fluorotelomer_alcohol",647-42-7,Chemical intermediate,63.56435,349.016,1239.72,1875.25,3655.03,
69,Methylene_bis(thiocyanate),6317-18-6,Microbiocide,53.91575,65.39305,41.6488,5126.965,198.311,
70,Ethephon,16672-87-0,Herbicide,156.5125,1000,298.4325,35647.15,2829.855,
71,2-(Butan-2-yl)phenol,89-72-5,Chemical intermediate,98.56855,91.6866,257.596,6945.26,650.7745,
72,Nitrapyrin,1929-82-4,Microbiocide,14.4096,199.2995,85.4548,1712.49,1497.59,
73,2-(2-Ethoxyethoxy)ethanol,111-90-0,Solvent,106.32,1301.12,1466.31,39017.15,1789.065,
74,Pyriproxyfen,95737-68-1,Pesticide,31.58065,14.8879,214.993,110.105,1911.45,
75,Forchlorfenuron,68157-60-8,Herbicide,170.734,48.5173,6.71943,6787.845,26.3842,
76,"4,4'-Sulfonyldiphenol",80-09-1,Chemical intermediate,5.2503,1660.78,884.6605,32968.65,517.504,
77,Pendimethalin,40487-42-1,Herbicide,2.139715,826.959,263.443,24220.7,833.033,
78,Clodinafop-propargyl,105512-06-9,Herbicide,4.560285,1000,689.1255,30475.7,592.452,
79,"1,2,4-Tribromobenzene",615-54-3,Chemical intermediate,63.7741,1089.235,181.1285,47452.8,3016.195,
80,Benzyloctyl_adipate,58394-64-2,Plasticizer,1.304785,1996.56,1363.01,40342.85,2624.845,
81,"2,4,4'-Trihydroxybenzophenone",1470-79-7,PAH,0.740192,273.613,156.0055,8213.33,271.787,
82,Di-n-octyl_phthalate,117-84-0,Plasticizer,117.0065,1245.805,105.969,47200.35,3713.54,
83,Propylbenzene,103-65-1,Solvent,1028.085,6.69751,18.19125,3999.51,2884.08,
84,"3,4-Diaminotoluene",496-72-0,Chemical intermediate,577.013,14.9911,32.28185,240.307,1662.87,
85,tert-Butylhydroquinone,1948-33-0,Chemical intermediate,241.0455,25.0871,146.006,10397.75,441.898,
86,Perfluorooctanesulfonamide,754-91-6,Surfactant,246.473,2.268125,0.6365515,2625.43,434.8105,
87,Hexanedinitrile,111-69-3,Chemical intermediate,94.43345,333.2915,57.09175,10212.6,2727.425,
88,Oxamyl,23135-22-0,Pesticide,466.003,25.6073,68.4651,758.781,1711.53,
89,N-Nitrosodimethylamine,62-75-9,Chemical intermediate,348.63,1000,815.931,42705.8,3451.105,
90,6-Thioguanine,154-42-7,Pharmaceutical,1100.875,96.79505,466.113,15689.95,2173.955,
91,Isopropyl_triethanolamine_titanate,36673-16-2,Other,1000,426.6945,248.632,45295.3,2477.6,
92,Busulfan,55-98-1,Pharmaceutical,209.5805,1226.36,268.28,42517.9,2122.11,
93,Monobenzyl_phthalate,2528-16-7,Plasticizer,627.036,581.8715,1226.075,33801.9,2399.395,
94,4-Hydroxytamoxifen,68392-35-8,Pharmaceutical,0.359063,191.846,275.3725,7986.46,307.909,
95,5-Chloro-2-methyl-3(2H)-isothiazolone,26172-55-4,Microbiocide,15.54935,208.3965,26.2921,8259.645,56.0924,
96,2-Hexyloxyethanol,112-25-4,Solvent,109.0365,1468.915,1430.855,41340,1230.87,
97,Cypermethrin,52315-07-8,Pesticide,92.99915,0.463184,840.879,51.98675,133.995,
98,"3,3',5,5'-Tetrabromobisphenol_A",79-94-7,Flame retardant,0.1315045,288.4705,23.489,7503.865,14.8175,
99,Thymol,89-83-8,Food flavor fragrance,18.1128,242.0905,0.1273815,10121.5,26.5638,
100,Triethanolamine,102-71-6,Surfactant,471.209,882.056,264.284,41294.4,120.3875,
101,"1,2-Propylene_glycol",57-55-6,Solvent,196.9555,1172.665,1451.505,55310.8,261.608,
102,Trichloroacetic_acid,76-03-9,Pharmaceutical,0.06686205,1077.84,186.339,47469.25,993.6015,
103,Carminic_acid,1260-17-9,Dye,7.888375,1312.01,1000,52761.2,3827.04,
104,Triflumizole,68694-11-1,Microbiocide,35.5802,11.90275,6.365725,100.23695,418.7945,
105,5HPP-33,105624-86-0,Pharmaceutical,57.3552,29.28805,129.009,4715.865,173.723,
106,Equilin,474-86-2,Pharmaceutical,91.2231,30.34085,162.8635,4326.14,222.272,
107,Acenaphthylene,208-96-8,PAH,860.306,9.725895,374.015,159397.5,2497.385,
108,Ethoxyquin,91-53-2,Food flavor fragrance,13.6972,296.6205,251.8955,9771.705,510.4325,
109,Propoxycarbazone-sodium,181274-15-7,Herbicide,80.02285,1144.69,363.7165,44761.15,2717.24,
110,Triacetin,102-76-1,Food flavor fragrance,47.26665,759.897,300.0195,44935.65,3974.785,
111,Sodium_trichloroacetate,650-51-1,Herbicide,27.62445,1000,216.1425,38464.95,2356.79,
112,Bendiocarb,22781-23-3,Pesticide,7.303375,1000,227.0115,40243.85,2096.94,
113,Maneb,12427-38-2,Microbiocide,260.555,1.739535,0.448732,10374.4,319.737,
114,Phenolphthalin,81-90-3,Dye,35.54495,1000,1000,54785.05,2581.4,
115,Pioglitazone_hydrochloride,112529-15-4,Pharmaceutical,124.358,641.1335,336.1625,33450.95,2584.425,
116,Simazine,122-34-9,Herbicide,1.710355,1297.67,52.2948,41012.45,1425.145,
117,Hexazinone,51235-04-2,Herbicide,34.832,1374.855,1250.475,42070.45,1709.655,
118,"1,3-Benzenediamine",108-45-2,Chemical intermediate,168.245,1000,0.03638955,49154.5,2742.845,
119,"2-Methyl-4,6-dinitrophenol",534-52-1,Pesticide,234.287,5.0325,197.9215,938.8745,35.2476,
120,Fluazifop-butyl,69806-50-4,Herbicide,4.252895,625.3575,1450.425,12136.2,815.9275,
121,1-Butanol,71-36-3,Solvent,1001.83,87.81295,1000,51916.55,319.4685,
122,4-(2-Methylbutan-2-yl)phenol,80-46-6,Chemical intermediate,123.082,18.10885,112.5755,127.3925,48.35455,
123,Cyprodinil,121552-61-2,Microbiocide,1.307605,295.2375,1.64369,8503.515,87.0541,
124,Diphenolic_acid,126-00-1,Plasticizer,0.40102,1083.115,1000,49951.7,1090.56,
125,Acetamide,60-35-5,Solvent,26.93705,1642.585,1503.855,57526.25,3566.99,
126,Pyrimethanil,53112-28-0,Microbiocide,1.651255,293.8745,0.0279035,11925.15,541.1065,
127,"1,3,5-Tribromobenzene",626-39-1,Chemical intermediate,1268.43,186.043,1000,52127.3,1345.38,
128,Mercuric_chloride,7487-94-7,Microbiocide,53.38655,0.3376045,53.44335,10.38445,46.9051,
129,"Hexanedioic_acid,_diisononyl_ester",33703-08-1,Plasticizer,1000,1000,1369.03,45861.9,2002.205,
130,Ammonium_perchlorate,7790-98-9,Other,355.064,1000,1000,46918.7,2483.735,
131,"1,2,3-Benzotriazole",95-14-7,Solvent,1096.74,15.53455,1000,408.65,871.7475,
132,Octamethylcyclotetrasiloxane,556-67-2,Chemical intermediate,1000,9.29351,35.20055,247.0975,842.24,
133,D-Mannitol,69-65-8,Food flavor fragrance,15.2844,1622.74,1000,50370.45,2896.33,
134,"5,5-Diphenylhydantoin",57-41-0,Pharmaceutical,21.24165,125.9655,193.993,100.01825,522.2235,
135,"1,3-Dichloro-2-propanol",96-23-1,Solvent,1000,134.8625,163.3865,4623.935,3542.52,
136,Clofentezine,74115-24-5,Pesticide,155.1835,1000,477.005,43636.55,4183.705,
137,2-Tert-Butyl-5-methylphenol,88-60-8,Chemical intermediate,206.5055,48.69165,48.8033,8801.455,355.494,
138,Pirimicarb,23103-98-2,Pesticide,11.48325,966.312,369.4275,31789.7,1689.49,
139,4-Hydroxy-3-methoxybenzaldehyde,121-33-5,Food flavor fragrance,27.96695,1615.905,1630.895,41891.85,2547.965,
140,Carbamazepine,298-46-4,Pharmaceutical,99.71795,30.04225,235.1855,1298.995,287.9065,
141,Isopentyl_alcohol,123-51-3,Solvent,87.3826,1247.475,298,50987.3,2696.475,
142,"2,6-Diethylaniline",579-66-8,Chemical intermediate,211.616,10.1871,8.171155,18826.8,716.0705,
143,Folpet,133-07-3,Microbiocide,41.6458,19.31685,10.83985,4684.18,104.7905,
144,Oxyfluorfen,42874-03-3,Herbicide,0.6957415,168.47,26.2062,7246.75,421.843,
145,Heptachlor,76-44-8,Pesticide,0.8719205,245.1895,309.803,9357.855,286.055,
146,Terbutryn,886-50-0,Herbicide,0.02218475,268.201,204.9955,6280.69,383.2575,
147,Flufenpyr-ethyl,188489-07-8,Herbicide,1000,4.758195,46.23605,79151.6,2586.765,
148,Fludioxonil,131341-86-1,Microbiocide,87.40345,35.5262,77.2585,1737.62,489.836,
149,Isoxaben,82558-50-7,Herbicide,16.14735,1077.2,1000,40877.1,2895.005,
150,Mepanipyrim,110235-47-7,Microbiocide,2.226355,1000,9.122905,7202.345,559.5115,
151,"2,3,4,6-Tetrachlorophenol",58-90-2,Microbiocide,304.9855,1.38959,8.35229,1054.645,536.105,
152,Methenamine,100-97-0,Chemical intermediate,178.348,1058.67,80.05225,42948.1,747.3305,
153,p-Bromodiphenyl_ether,101-55-3,Chemical intermediate,22.0988,143.5135,845.7745,12597.95,2750.045,
154,Boscalid,188425-85-6,Microbiocide,2.490365,104.193,1.288485,17615.9,201.2725,
155,Dodecyltrimethylammonium_chloride,112-00-5,Microbiocide,223.774,4.76944,0.4253375,51.04235,423.8825,
156,Dibutyl_decanedioate,109-43-3,Plasticizer,670.3625,1000,174.9845,37691.55,2655.775,
157,Reserpine,50-55-5,Pharmaceutical,11.1442,3.904425,1.44621,62.1381,86.78085,
158,Quinclorac,84087-01-4,Herbicide,1169.66,58.5557,835.9745,17342.45,3582.27,
159,Tebuconazole,107534-96-3,Pesticide,9.134305,9.92037,0.2155505,824.8335,11.55215,
160,Methyl_methanesulfonate,66-27-3,Pesticide,0.8106345,1587.98,1000,49158.9,1982.805,
161,"3,4-Dichloronitrobenzene",99-54-7,Chemical intermediate,28.311,237.8925,181.0055,1605.73,1709.92,
162,Coumarin,91-64-5,Food flavor fragrance,16.11065,1568.82,0.09171335,49671.05,440.0915,
163,4-Nitrobenzoic_acid,62-23-7,Chemical intermediate,145.762,1000,715.8315,50080.5,211.56,
164,Bispyribac-sodium,125401-92-5,Herbicide,297.263,1000,230.6155,39841.4,88.7025,
165,"2,2-Bis(4-hydroxyphenyl)-1,1,1-trichloroethane",2971-36-0,Pesticide,0.3842845,175.1605,256.623,7195.73,16.67815,
166,Nilutamide,63612-50-0,Pharmaceutical,3.072815,363.2445,21.9949,9514.965,72.33795,
167,Chlorethoxyfos,54593-83-8,Pesticide,9.658455,625.5065,955.061,21951.1,445.1575,
168,Dibutyl_phthalate,84-74-2,Plasticizer,0.568716,184.9095,12.42,8439.525,117.1735,
169,Diphenylamine,122-39-4,Dye,1.041275,39.9993,286.2795,219.715,635.61,
170,Pentachloropyridine,2176-62-7,Chemical intermediate,119.8385,1056.955,380.4295,52150.2,3165.69,
171,Dexamethasone_sodium_phosphate,2392-39-4,Pharmaceutical,548.9685,1000,1000,43434.1,3186.91,
172,"1,2,3,4-Tetrachlorobenzene",634-66-2,Chemical intermediate,19.18965,1676.1,362.491,39160.3,3294.675,
173,Sodium_dodecylbenzenesulfonate,25155-30-0,Surfactant,92.1442,25.7219,30.38475,734.2185,547.413,
174,Trichlorfon,52-68-6,Pesticide,94.27925,1330.395,748.9505,46210.35,2870.705,
175,"1,3-Diphenylguanidine",102-06-7,Chemical intermediate,517.209,0.1439415,1.38764,123.1265,3076.38,
176,"1,2-Diphenylhydrazine",122-66-7,Chemical intermediate,105.2985,71.11515,102.682,7964.33,204.8145,
177,Codeine,76-57-3,Pharmaceutical,22.93945,298.9975,34.73905,38707,2051.325,
178,N-Nitrosodiethylamine,55-18-5,Plasticizer,289.1035,786.7365,253.0735,52412.25,3309.665,
179,Testosterone_propionate,57-85-2,Pharmaceutical,28.22755,259.321,1.42668,9452.135,269.553,
180,Triethoxyoctylsilane,2943-75-1,Chemical intermediate,551.5875,327.568,418.864,36749.7,3005.43,
181,Glutaraldehyde,111-30-8,Chemical intermediate,25.684,1000,115.1665,53570.7,1924.35,
182,Acetophenone,98-86-2,Food flavor fragrance,105.3145,962.93,17.4924,68009.7,969.4865,
183,Triphenyltin_hydroxide,76-87-9,Microbiocide,4.47601,6.06371,0.00219993,3166.58,12.11065,
184,Methyl_2-aminobenzoate,134-20-3,Food flavor fragrance,18.68485,874.543,1000,24817.35,516.483,
185,Triglycidyl_isocyanurate,2451-62-9,Chemical intermediate,4.758345,1819.935,1136.81,45585.25,384.502,
186,Spironolactone,52-01-7,Pharmaceutical,0.3021315,126.064,3.18391,597.7515,358.121,
187,Sulfasalazine,599-79-1,Pharmaceutical,962.3105,64.38525,602.9285,11010.2,839.7415,
188,Cyclohexylamine,108-91-8,Chemical intermediate,45.96715,1000,305.496,38999.7,1176.36,
189,Methidathion,950-37-8,Pesticide,540.611,77.14335,1.626455,22672.05,291.0265,
190,2-Amino-5-azotoluene,97-56-3,Chemical intermediate,10.6654,24.29405,27.8355,1876.48,7.62347,
191,Di(2-ethylhexyl)_phthalate,117-81-7,Plasticizer,1.50281,1754.32,1618.645,59151.55,3195.395,
192,"2E,4E-Hexadienoic_acid",110-44-1,Microbiocide,455.272,907.1205,1000,32920.85,1552.87,
193,4-Nitroaniline,100-01-6,Chemical intermediate,47.71375,1447.9,2.110605,58347.1,2434.435,
194,Diethylene_glycol_monomethyl_ether,111-77-3,Solvent,728.431,272.294,383.441,64131.75,3091.05,
195,Simvastatin,79902-63-9,Pharmaceutical,85.6376,32.68685,98.99565,27665.6,2116.255,
196,Kaempferol,520-18-3,Food flavor fragrance,0.1326715,17.8763,209.6435,328.3205,910.33,
197,4-Aminoazobenzene,60-09-3,Chemical intermediate,3.36553,200.7715,235.2085,7012.845,363.0725,
198,Warfarin,81-81-2,Pharmaceutical,1000,866.0765,388.685,46939.4,4226.685,
199,Tebufenozide,112410-23-8,Pesticide,3.28405,604.1475,25.8756,21560.85,1757.095,
200,Fulvestrant,129453-61-8,Pharmaceutical,0.07318385,664.7905,780.5705,13517.3,1336.96,
201,Quercetin,117-39-5,Food flavor fragrance,0.9927265,794.6415,1877.585,27434.05,3997.785,
202,Alachlor,15972-60-8,Herbicide,0.1347725,234.6265,39.63785,8255.715,562.2015,
203,Bronopol,52-51-7,Microbiocide,1.943875,186.5705,220.0865,5473.72,369.7155,
204,"N,N,N,N-Tetrakis(2-hydroxypropyl)ethylenediamine",102-60-3,Plasticizer,819.6895,123.06,74.2305,11116.65,2788.7,
205,17alpha-Ethinylestradiol,57-63-6,Pharmaceutical,0.0115736,7.577335,27.42135,294.987,4.46026,
206,Fluconazole,86386-73-4,Microbiocide,4.29091,1415.85,608.0635,40093,582.0245,
207,Hydramethylnon,67485-29-4,Pesticide,363.9225,4.720045,2.76932,291.7035,115.143,
208,Acetamiprid,135410-20-7,Pesticide,1.682485,1558.985,363.759,44763.65,1519.39,
209,Cymoxanil,57966-95-7,Microbiocide,14.73485,1634.15,295.38,45576.7,1868.21,
210,Diethyl_butanedioate,123-25-1,Food flavor fragrance,1.60487,214.809,1446.955,1552.555,2045.515,
211,"2,4-Dichlorophenoxyacetic_acid",94-75-7,Herbicide,86.65825,282.3005,798.525,1463.145,2391,
212,Piperonyl_butoxide,51-03-6,Pesticide,0.8545775,140.625,53.3385,5541.335,528.232,
213,Gentian_Violet,548-62-9,Pharmaceutical,121.5545,0.2536235,0.519008,4428.56,265.581,
214,Diacetone_alcohol,123-42-2,Solvent,177.7675,1000,120.0175,55051.35,3225.6,
215,Mirex,2385-85-5,Pesticide,132.141,1000,360.431,46610.9,4022.165,
216,Flumiclorac-pentyl,87546-18-7,Herbicide,674.219,13.31005,68.2608,8958.625,1585.375,
217,Fenthion,55-38-9,Pesticide,87.2226,0.7281995,46.83935,29.60525,576.6865,
218,Daidzein,486-66-8,Food flavor fragrance,138.856,21.1016,370.871,127.564,589.3815,
219,"N,N-Diethylethanolamine",100-37-8,Chemical intermediate,0.00551942,1127.56,1000,47557.1,3157.68,
220,Propanil,709-98-8,Herbicide,5.08267,197.9035,21.82315,6367.265,384.477,
221,Sulpiride,15676-16-1,Pharmaceutical,180.142,15.5495,3.41916,3450.67,2783.81,Known
222,S-Bioallethrin,28434-00-6,Pesticide,2.62663,3.98766,104.469,29.38535,653.765,
223,Cyclohexanone,108-94-1,Solvent,145.9335,1485.855,1000,39747.95,3594.9,
224,4-Octylphenol,1806-26-4,Plasticizer,263.4255,52.87695,27.60265,8440.33,1467.555,
225,Diuron,330-54-1,Herbicide,0.02570675,607.6415,732.4965,23352.55,686.6995,
226,Perfluorohexanoic_acid,307-24-4,Surfactant,13.71245,1877.29,644.594,52923.45,2384.045,
227,Methyleugenol,93-15-2,Food flavor fragrance,1.506265,1000,42.8051,32325.65,612.842,
228,Diisodecyl_hexanedioate,27178-16-1,Plasticizer,3.40763,1761.465,1000,43763.1,161.6585,
229,4-Methyl-2-pentanol,108-11-2,Solvent,0.00514818,1483.575,1411.81,49467.85,196.31,
230,PHA-00568487,527680-56-4,Pharmaceutical,0.6013645,1641.785,12.12065,48118.05,1417.37,
231,Imazapyr,81334-34-1,Herbicide,0.0637329,1956.31,1600.89,38660.95,1399.83,
232,Ethyl_butyrate,105-54-4,Food flavor fragrance,0.034638,1503.82,1000,47857.1,1401.985,
233,"1-(Hydroxymethyl)-5,5-dimethylhydantoin",116-25-6,Microbiocide,4.139005,1271.605,870.2085,39222.15,1776.045,
234,5-Heptyldihydro-2(3H)-furanone,104-67-6,Food flavor fragrance,23.7415,280.495,78.8849,10053.95,569.744,
235,Acetyltriethyl_citrate,77-89-4,Chemical intermediate,8.248715,946.6525,113.7045,27982.05,1673.385,
236,o-Cresol,95-48-7,Solvent,17.9092,1522.845,1290.68,46990.8,3492.585,
237,Chlorothalonil,1897-45-6,Microbiocide,16.25135,297.3625,22.53375,13057.1,34.9936,
238,"Sodium_erythorbate_(1,1)",6381-77-7,Food flavor fragrance,290.3195,1000,224.0425,43949.7,2966.04,
239,Maltol,118-71-8,Food flavor fragrance,0.894345,1405.72,34.30165,40194.85,3608.82,
240,Metalaxyl,57837-19-1,Microbiocide,6.18584,350.6715,864.923,27403.35,1565.215,
241,Ethalfluralin,55283-68-6,Herbicide,13.5181,659.3595,645.3555,29831,392.996,
242,Methomyl,16752-77-5,Pesticide,198.8125,1340.82,1000,47432.6,3986.595,
243,Methylparaben,99-76-3,Food additive,23.6195,1701.555,0.790663,53047.3,3501.73,
244,Fenitrothion,122-14-5,Pesticide,9.212595,1677.115,111.7515,46457.7,2466.49,
245,Cyclanilide,113136-77-9,Herbicide,1325.35,17.03345,914.0115,10642.3,3154.29,
246,"3,7-Dimethyl-2,6-octadienal",5392-40-5,Food flavor fragrance,3.16578,815.886,0.2965675,30610.45,1268.03,
247,Carfentrazone-ethyl,128639-02-1,Herbicide,0.60808,19.0529,3.444815,244.9475,259.4225,
248,4-Nonylphenol,104-40-5,Surfactant,1339.17,50.75055,1231.92,3873.865,1976.875,
249,Formamide,75-12-7,Chemical intermediate,0.002261055,1094.805,425.8885,39080.5,336.03,
250,Butylbenzene,104-51-8,Solvent,0.0233382,1732.285,0.662537,46802.5,247.1745,
251,"2,6-Dinitrotoluene",606-20-2,Chemical intermediate,0.5008015,1000,366.5235,32114,527.7575,
252,Chloramben,133-90-4,Herbicide,3.40211,923.504,389.204,55349.75,1315.905,
253,Pyraflufen-ethyl,129630-19-9,Herbicide,36.71745,196.939,3.277735,7642.695,183.9085,
254,"6,2_Fluorotelomer_methacrylate",2144-53-8,Chemical intermediate,0.005027355,1622.275,521.908,55278.75,1470.52,
255,Penoxsulam,219714-96-2,Herbicide,0.00348356,1742.695,315.186,59987.7,2107.015,
256,Dipropylene_glycol_monomethyl_ether,34590-94-8,Pharmaceutical,18.9471,1442.375,1000,51771.8,3457.65,
257,Spiroxamine,118134-30-8,Microbiocide,20.2577,10.24755,142.837,81.7405,410.605,
258,Spirodiclofen,148477-71-8,Pesticide,1000,35.43775,21.0558,6369.755,2270.78,
259,Sodium_4-nitrophenolate,824-78-2,Herbicide,1443.755,24.8004,1068.34,7273.08,2158.165,
260,Cyclohexanol,108-93-0,Chemical intermediate,607.499,1000,710.6245,43583,2587.82,
261,Ammonium_perfluorooctanoate,3825-26-1,Chemical intermediate,1169.975,0.004603995,174.306,55741.05,359.637,
262,Dimethyl_adipate,627-93-0,Solvent,55.82625,1027.04,1175.215,40926.8,1635,
