Chemical.Number,Chemical.Name,Chemical.CAS,Chemical.Class,Peak_Frequency_up,Peak_Frequency_dn,Peak_Decay_Rise_Ratio_up,Peak_Frequency_zero,Total_Cells_zero,Drug_lable,QT.TdP_lable_onCedibleMed,QT.TdP_Positive_k_c,FDA_study
56,Thiabendazole,148-79-8,Pesticide,3.383985,1330.275,511.138,27603.75,3.717595,,,NA,
57,Naphthalene,91-20-3,PAH,1.382905,1156.865,174.0735,25137.5,8.356305,,,NA,
58,Benzo(e)pyrene,192-97-2,PAH,1.236695,1503.865,690.8235,27399.05,81.1813,,,NA,
59,Triphenyl_phosphates_isopropylated,28108-99-8,Flame.Retardant,0.4117005,784.875,410.262,71.0258,49.4336,,,NA,
60,Parathion,56-38-2,Pesticide,0.5361915,241.4845,32.0765,67.1606,70.0791,,,NA,
61,8-Hydroxyquinoline,148-24-3,Pesticide,22.63115,1218.605,38.53665,39371.7,593.86,,,NA,
62,6-Propyl-2-thiouracil,51-52-5,Pharmaceutical,11.10965,960.6425,784.7955,30294.8,37.47365,Drug,Negative,0,
63,2-Ethylhexyl_diphenyl_phosphate,1241-94-7,Flame.Retardant,0.1878465,170.8545,33.7249,66.52105,8.921255,,,NA,
64,Aspartame,22839-47-0,Food.Additive,365.995,890.4125,533.114,29934.2,194.5305,,,NA,
65,Hexanedioic_acid,124-04-9,Food.Additive,523.123,603.498,0.3166795,27292,133.94,,,NA,
66,Dieldrin,60-57-1,Pesticide,1.25127,721.932,174.596,70.8818,113.3975,,,NA,
67,Acenaphthene,83-32-9,PAH,3.07763,1042.3,515.161,28108.65,371.134,,,NA,
68,Sodium_saccharin_hydrate,82385-42-0,Food.Additive,0.00765002,1050.645,634.277,34851.85,1163.48,,,NA,
69,Heptachlor,76-44-8,Pesticide,0.3232665,163.4465,54.77255,66.0331,10.25615,,,NA,
70,D-Glucitol,50-70-4,Food.Additive,1.127765,1109.85,614.9155,30472.1,87.97905,,,NA,
71,Colchicine,64-86-8,Pharmaceutical,990.944,2.795325,419.3345,39865.45,702.7585,Drug,Negative,0,
72,Lindane,58-89-9,Pesticide,3.19154,583.5345,495.226,71.92425,1141.15,,,NA,
73,Phenanthrene,85-01-8,PAH,16.4343,112.3675,123.634,65.0486,1308.405,,,NA,
74,Aldicarb,116-06-3,Pesticide,591.575,339.3565,503.3625,27285.05,1220.025,,,NA,
75,Permethrin,52645-53-1,Pesticide,0.458444,102.189,189.6055,12.45305,944.9455,,,NA,
76,Dazomet,533-74-4,Pesticide,132.173,1000,638.0455,30357.45,1659.535,,,NA,
77,Rotenone,83-79-4,Pesticide,45.6771,212.9975,69.57945,0.0134119,0.0054923,,,NA,
78,Manganese(2)acetate,638-38-0,Metal,20.24425,662.933,0.362775,68.7516,816.2855,,,NA,
79,Captan,133-06-2,Pesticide,168.3125,0.166418,23.89425,56.05175,18.83145,,,NA,
80,5-Fluorouracil,51-21-8,Pharmaceutical,606.9805,393.3975,390.6155,32342.65,654.875,Drug,Possible,0,
81,Hexachlorophene,70-30-4,Pesticide,2.355545,0.5169235,3.02832,5.84133,2.81129,,,NA,
82,"3,3'-Iminobispropanenitrile",111-94-4,Industrial.Chemical,381.5615,593.1785,333.3945,30261.25,959.472,,,NA,
83,2-Phenylphenol,90-43-7,Pesticide,3.13731,414.06,522.3555,70.482,1193.41,,,NA,
84,Myclobutanil,88671-89-0,Pesticide,29.4365,627.035,572.129,66.38465,880.9895,,,NA,
85,Acetochlor,34256-82-1,Pesticide,1.019155,779.122,603.8735,72.0206,20.5169,,,NA,
86,"Hexachloro-1,3-butadiene",87-68-3,Industrial.Chemical,331.869,968.6975,988.601,25447.4,732.37,,,NA,
87,Octhilinone,26530-20-1,Pesticide,29.1684,335.318,455.6495,7.103535,2.04954,,,NA,
88,6-Thioguanine,154-42-7,Pharmaceutical,1204.035,30.77215,937.249,1128.595,1026.21,Drug,Negative,0,
89,tert-Butylphenyl_diphenyl_phosphate,56803-37-3,Flame.Retardant,0.525061,334.538,5.8102,64.16445,1030.475,,,NA,
90,Thalidomide,50-35-1,Pharmaceutical,114.825,930.8105,1215.01,27855.25,1856.24,Drug,Negative,0,
91,Sucrose,57-50-1,Food.Additive,793.414,545.5335,1018.07,28008.3,337.9815,,,NA,
92,"3,3',5,5'-Tetrabromobisphenol_A",79-94-7,Flame.Retardant,42.33805,656.3815,635.0695,66.72975,26.0326,,,NA,
93,Triphenyl_phosphate,115-86-6,Flame.Retardant,9.21123,62.1122,46.7954,8.722325,1334.76,,,NA,
94,Triamterene,396-01-0,Pharmaceutical,725.5025,51.20105,18.67295,20622.3,1196.7,Drug,Negative,0,
95,(Methylcyclopentadienyl)tricarbonylmanganese,12108-13-3,Metal,20.2863,1169.195,0.7230435,34107.8,1065.995,,,NA,
96,Benzoic_acid,65-85-0,Food.Additive,681.3885,198.154,275.4905,26704.7,516.7915,,,NA,
97,Disulfiram,97-77-8,Pharmaceutical,2.184145,73.65615,477.5165,69.11135,12.94935,Drug,Negative,0,
98,Anthracene,120-12-7,PAH,6.45534,1180.795,993.5245,28774.1,1102.985,,,NA,
99,Acetaminophen,103-90-2,Pharmaceutical,305.134,804.663,920.539,27124.1,1208.26,Drug,Negative,0,
100,Aspirin,50-78-2,Pharmaceutical,495.6795,429.072,873.5655,30902.65,785.248,Drug,Negative,0,
101,Acrylamide,79-06-1,Industrial.Chemical,129.9775,998.45,748.146,31225.6,1512.66,,,NA,
102,Benz(a)anthracene,56-55-3,PAH,167.2825,427.2075,92.65,65.6101,1198.845,,,NA,
103,Azobenzene,103-33-3,Industrial.Chemical,2.75736,199.7205,87.4651,65.9735,295.7305,,,NA,
104,Mifepristone2,84371-65-3,Pharmaceutical,0.1163235,661.336,500.455,7.043695,587.133,Drug,Possible,0,
105,Tebuconazole,107534-96-3,Pesticide,11.5443,705.11,0.484424,7.833265,20.3398,,,NA,
106,Aldrin,309-00-2,Pesticide,0.1634785,577.5835,192.156,67.9842,19.0394,,,NA,
107,Tris(methylphenyl)phosphate,1330-78-5,Flame.Retardant,0.2016775,103.1175,131.7885,7.00935,1028.98,,,NA,
108,Atenolol,29122-68-7,Pharmaceutical,903.898,503.837,332.8145,32690.25,1215.955,Drug,Negative,0,
109,L-Ascorbic_acid,50-81-7,Food.Additive,224.67,1023.89,1061.485,25313.35,917.16,,,NA,
110,Verapamil_hydrochloride,152-11-4,Pharmaceutical.cIPA,0.004304305,74.2407,4.48651,0.7058455,556.1785,Drug,Negative,0,
111,Benzo(k)fluoranthene,207-08-9,PAH,5.203135,1594.695,1306.285,33553.6,448.119,,,NA,
112,"Dibenz[a,c]anthracene",215-58-7,PAH,0.976594,769.4915,645.099,70.7654,1089.925,,,NA,
113,Methylmercuric(2)chloride,115-09-3,Metal,0.07312695,189.84,291.685,7.19224,2.11477,,,NA,
114,Isodecyl_diphenyl_phosphate,29761-21-5,Industrial.Chemical,0.6136,198.393,206.767,67.08145,1202.335,,,NA,
115,tert-Butylhydroquinone,1948-33-0,Food.Additive,22.4403,47.5884,108.071,46.057,20.35625,,,NA,
116,Deltamethrin,52918-63-5,Pesticide,0.0132259,610.152,302.824,0.01791785,1083.145,,,NA,
117,Fluorene,86-73-7,PAH,10.2844,521.586,403.975,78.5137,862.557,,,NA,
118,Pyrimethamine,58-14-0,Pharmaceutical,27.4719,572.9005,11.92875,8.72757,1259.14,Drug,Negative,0,
119,Endosulfan,115-29-7,Pesticide,1.89818,651.9135,47.67555,66.7972,149.438,,,NA,
120,Ranitidine,66357-35-5,Pharmaceutical,650.8905,188.793,685.5655,50939,990.987,Drug,Negative,0,
121,Pyrene,129-00-0,PAH,8.49717,643.0265,547.1555,71.80795,1380.365,,,NA,
122,Methylparaben,99-76-3,Food.Additive,19.34675,1026.13,303.43,28393.45,633.445,,,NA,
123,"1,4-Benzoquinone",106-51-4,Industrial.Chemical,2.480455,1022.145,685.4275,21692.95,106.671,,,NA,
124,Propyl_gallate,121-79-9,Food.Additive,8.338705,587.1075,18.44315,68.78945,212.507,,,NA,
125,Citric_acid,77-92-9,Food.Additive,235.7055,592.5135,547.539,41609.7,242.0195,,,NA,
126,Sodium_valproate,1069-66-5,Pharmaceutical,405.0215,778.485,182.29,29400.3,1138.425,Drug,Negative,0,
127,Benzo(b)fluoranthene,205-99-2,PAH,0.7435785,1307.475,246.268,34138.9,116.5865,,,NA,
128,Biotin,58-85-5,Food.Additive,305.0865,641.2715,711.037,32675.85,1289.06,,,NA,
129,Dichlorodiphenyltrichloroethane,50-29-3,Pesticide,0.820754,173.472,47.13055,34.13545,16.25885,,,NA,
130,Hydroxyurea,127-07-1,Pharmaceutical,828.0585,142.4555,750.1315,48059.55,1199.655,Drug,Negative,0,
131,Reserpine,50-55-5,Pharmaceutical,2.002355,93.37295,1.77247,6.30943,159.208,Drug,Negative,0,
132,Bisphenol_A,80-05-7,Industrial.Chemical,1.12908,178.5845,199.414,8.14268,162.088,,,NA,
133,Progesterone,57-83-0,Pharmaceutical,0.1485835,132.8625,114.1625,7.83658,134.5985,Drug,Negative,0,
134,Diethylstilbestrol,56-53-1,Pharmaceutical,0.139605,85.431,109.7665,6.950525,18.5146,Drug,Negative,0,
135,Flutamide,13311-84-7,Pharmaceutical,0.398002,159.972,125.3465,7.897935,27.9083,Drug,Negative,0,
136,Di(2-ethylhexyl)phthalate,117-81-7,Industrial.Chemical,13.93885,1039.27,919.407,33029.3,1014.04,,,NA,
137,Tamoxifen,10540-29-1,Pharmaceutical.cIPA,4.760165,175.7125,87.3884,7.93435,20.8683,Drug,Possible,0,
138,Phenobarbital_sodium,57-30-7,Pharmaceutical,15.75925,1623.29,1396.325,33659.2,1450.69,Drug,Negative,0,
