Chemical.Number	Chemical.Name	Peak_Frequency_up	Peak_Frequency_dn	Peak_Decay_Rise_Ratio_up	Total_Cells_zero	Peak_Frequency_zero
54	Acenaphthylene	8	32	8	8	8
55	4-Hexylresorcinol	8	8	8	8	8
56	Thiabendazole	8	8	8	8	8
57	Naphthalene	8	8	8	8	8
58	Benzo(e)pyrene	8	8	8	8	8
59	Triphenyl_phosphates_isopropylated	8	8	8	8	8
60	Parathion	8	8	8	8	8
61	8-Hydroxyquinoline	8	8	8	8	8
62	6-Propyl-2-thiouracil	8	8	8	8	8
63	2-Ethylhexyl_diphenyl_phosphate	8	8	8	8	8
64	Aspartame	8	8	8	8	8
65	Hexanedioic_acid	8	8	8	8	8
66	Dieldrin	8	16	8	8	8
67	Acenaphthene	8	8	8	8	8
68	Sodium_saccharin_hydrate	8	8	8	8	8
69	Heptachlor	8	8	8	8	32
70	D-Glucitol	8	8	8	8	8
71	Colchicine	8	8	8	8	32
72	Lindane	8	8	8	8	8
73	Phenanthrene	8	8	8	8	8
74	Aldicarb	8	8	8	8	8
75	Permethrin	8	8	8	8	8
76	Dazomet	8	8	8	8	8
77	Rotenone	8	8	8	32	4
78	Manganese(2)acetate	8	8	8	8	8
79	Captan	8	8	32	32	8
80	5-Fluorouracil	8	8	8	8	8
81	Hexachlorophene	8	8	8	8	8
82	"3,3'-Iminobispropanenitrile"	8	8	8	8	8
83	2-Phenylphenol	8	8	8	8	16
84	Myclobutanil	8	8	8	8	8
85	Acetochlor	8	8	8	8	8
86	"Hexachloro-1,3-butadiene"	8	8	8	8	8
87	Octhilinone	8	8	8	32	32
88	6-Thioguanine	8	8	8	8	8
89	tert-Butylphenyl_diphenyl_phosphate	8	8	8	8	8
90	Thalidomide	8	8	8	8	8
91	Sucrose	8	8	8	8	8
92	"3,3',5,5'-Tetrabromobisphenol_A"	32	8	8	8	8
93	Triphenyl_phosphate	8	8	8	8	8
94	Triamterene	8	8	8	8	8
95	(Methylcyclopentadienyl)tricarbonylmanganese	8	8	8	8	8
96	Benzoic_acid	8	8	8	8	8
97	Disulfiram	8	16	8	8	8
98	Anthracene	8	8	8	8	8
99	Acetaminophen	8	8	8	8	8
100	Aspirin	8	8	8	8	8
101	Acrylamide	8	8	8	8	8
102	Benz(a)anthracene	8	8	8	8	8
103	Azobenzene	8	16	8	8	32
104	Mifepristone2	8	16	8	8	8
105	Tebuconazole	8	8	8	16	8
106	Aldrin	8	8	8	8	8
107	Tris(methylphenyl)phosphate	8	8	8	8	8
108	Atenolol	8	8	8	8	8
109	L-Ascorbic_acid	8	8	8	8	8
110	Verapamil_hydrochloride	8	8	8	8	8
111	Benzo(k)fluoranthene	8	8	8	8	8
112	"Dibenz[a,c]anthracene"	8	8	8	8	8
113	Methylmercuric(2)chloride	8	8	8	8	8
114	Isodecyl_diphenyl_phosphate	8	8	8	8	8
115	tert-Butylhydroquinone	8	8	8	8	8
116	Deltamethrin	32	8	8	16	32
117	Fluorene	8	8	8	8	8
118	Pyrimethamine	8	8	8	8	32
119	Endosulfan	8	8	8	8	8
120	Ranitidine	8	8	8	8	8
121	Pyrene	8	8	8	8	8
122	Methylparaben	8	8	8	8	8
123	"1,4-Benzoquinone"	8	8	8	8	8
124	Propyl_gallate	8	8	8	8	8
125	Citric_acid	8	8	8	16	8
126	Sodium_valproate	8	8	8	8	8
127	Benzo(b)fluoranthene	8	8	8	16	8
128	Biotin	8	8	8	8	8
129	Dichlorodiphenyltrichloroethane	8	8	8	16	8
130	Hydroxyurea	8	8	8	8	8
131	Reserpine	8	8	8	8	8
132	Bisphenol_A	8	8	8	8	32
133	Progesterone	8	8	8	8	8
134	Diethylstilbestrol	8	8	8	8	8
135	Flutamide	8	16	8	8	32
136	Di(2-ethylhexyl)phthalate	8	8	8	8	8
137	Tamoxifen	8	8	8	16	8
138	Phenobarbital_sodium	8	8	8	8	8
141	TAB_Control	NA	NA	NA	NA	NA
142	Isoproterenol_Control	NA	NA	NA	NA	NA
143	Propranolol_Control	NA	NA	NA	NA	NA
144	Cisapride_Control	NA	NA	NA	NA	NA
