Chemical.Number	Chemical.Name	Peak_Frequency_up	Peak_Frequency_dn	Peak_Decay_Rise_Ratio_up	Total_Cells_zero	Peak_Frequency_zero
46	3-Iodo-2-propynyl-N-butylcarbamate	4	4	4	4	4
47	Pyridaben	4	4	4	4	4
48	Dimethylarsinic_acid	4	4	4	4	4
49	EPN	4	4	4	4	4
50	Chloridazon	4	4	4	4	4
51	"2,2,4-Trimethyl-1,3-pentanediol_diisobutyrate"	4	4	4	4	4
52	Norethindrone	4	4	4	4	4
53	Butralin	4	4	4	4	4
54	Paclobutrazol	4	4	4	4	4
55	Diclofenac_sodium	4	4	4	4	4
56	Flumioxazin	4	4	4	4	4
57	4-Heptylphenol	4	4	4	4	4
58	4-Chlorophenyl_methyl_sulfide	4	4	4	4	4
59	Dimethipin	4	4	4	4	4
60	Tripropylene_glycol_monomethyl_ether	4	4	4	4	4
61	Cyfluthrin	4	4	4	4	4
62	Sethoxydim	4	4	4	4	4
63	Oxazepam	4	4	4	4	4
64	Sodium_dehydroacetate	4	4	4	4	4
65	alpha-Cyclodextrin	4	4	4	4	4
66	1-Tridecanol	4	4	4	4	4
67	Bifenthrin	4	4	4	4	4
68	6_2_Fluorotelomer_alcohol	4	4	4	4	4
69	Methylene_bis(thiocyanate)	4	4	4	4	4
70	Ethephon	4	4	4	4	4
71	2-(Butan-2-yl)phenol	4	4	4	4	4
72	Nitrapyrin	4	4	4	4	4
73	2-(2-Ethoxyethoxy)ethanol	4	4	4	4	4
74	Pyriproxyfen	4	4	4	4	4
75	Forchlorfenuron	4	4	4	4	4
76	"4,4'-Sulfonyldiphenol"	4	4	4	4	4
77	Pendimethalin	4	4	4	4	4
78	Clodinafop-propargyl	4	4	4	4	4
79	"1,2,4-Tribromobenzene"	4	4	4	4	4
80	Benzyloctyl_adipate	4	4	4	4	4
81	"2,4,4'-Trihydroxybenzophenone"	4	4	4	4	4
82	Di-n-octyl_phthalate	4	4	4	4	4
83	Propylbenzene	4	4	4	4	4
84	"3,4-Diaminotoluene"	4	4	4	4	4
85	tert-Butylhydroquinone	4	4	4	4	4
86	Perfluorooctanesulfonamide	4	4	4	4	4
87	Hexanedinitrile	4	4	4	4	4
88	Oxamyl	4	4	4	4	4
89	N-Nitrosodimethylamine	4	4	4	4	4
90	6-Thioguanine	4	4	4	4	4
91	Isopropyl_triethanolamine_titanate	4	4	4	4	4
92	Busulfan	4	4	4	4	4
93	Monobenzyl_phthalate	4	4	4	4	4
94	4-Hydroxytamoxifen	4	4	4	4	4
95	5-Chloro-2-methyl-3(2H)-isothiazolone	4	4	4	4	4
96	2-Hexyloxyethanol	4	4	4	4	4
97	Cypermethrin	4	4	4	4	4
98	"3,3',5,5'-Tetrabromobisphenol_A"	4	4	4	4	4
99	Thymol	4	4	4	4	4
100	Triethanolamine	4	4	4	4	4
101	"1,2-Propylene_glycol"	4	4	4	4	4
102	Trichloroacetic_acid	4	4	4	4	4
103	Carminic_acid	4	4	4	4	4
104	Triflumizole	4	4	4	4	4
105	5HPP-33	4	4	4	4	4
106	Equilin	4	4	4	4	4
107	Acenaphthylene	4	4	4	4	4
108	Ethoxyquin	4	4	4	4	4
109	Propoxycarbazone-sodium	4	4	4	4	4
110	Triacetin	4	4	4	4	4
111	Sodium_trichloroacetate	4	4	4	4	4
112	Bendiocarb	4	4	4	4	4
113	Maneb	4	4	4	4	4
114	Phenolphthalin	4	4	4	4	4
115	Pioglitazone_hydrochloride	4	4	4	4	4
116	Simazine	4	4	4	4	4
117	Hexazinone	4	4	4	4	4
118	"1,3-Benzenediamine"	4	4	4	4	4
119	"2-Methyl-4,6-dinitrophenol"	4	4	4	4	4
120	Fluazifop-butyl	4	4	4	4	4
121	1-Butanol	4	4	4	4	4
122	4-(2-Methylbutan-2-yl)phenol	4	4	4	4	4
123	Cyprodinil	4	4	4	4	4
124	Diphenolic_acid	4	4	4	4	4
125	Acetamide	4	4	4	4	4
126	Pyrimethanil	4	4	4	4	4
127	"1,3,5-Tribromobenzene"	4	4	4	4	4
128	Mercuric_chloride	4	4	4	32	4
129	"Hexanedioic_acid,_diisononyl_ester"	4	4	4	4	4
130	Ammonium_perchlorate	4	4	4	4	4
131	"1,2,3-Benzotriazole"	4	4	4	4	4
132	Octamethylcyclotetrasiloxane	4	4	4	4	4
133	D-Mannitol	4	4	4	4	4
134	"5,5-Diphenylhydantoin"	4	4	4	4	4
135	"1,3-Dichloro-2-propanol"	4	4	4	4	4
136	Clofentezine	4	4	4	4	4
137	2-Tert-Butyl-5-methylphenol	4	4	4	4	4
138	Pirimicarb	4	4	4	4	4
139	4-Hydroxy-3-methoxybenzaldehyde	4	4	4	4	4
140	Carbamazepine	4	4	4	4	4
141	Isopentyl_alcohol	4	4	4	4	4
142	"2,6-Diethylaniline"	4	4	4	4	4
143	Folpet	4	4	4	4	4
144	Oxyfluorfen	4	4	4	4	4
145	Heptachlor	4	4	4	4	4
146	Terbutryn	4	4	4	4	4
147	Flufenpyr-ethyl	4	4	4	4	4
148	Fludioxonil	4	4	4	4	4
149	Isoxaben	4	4	4	4	4
150	Mepanipyrim	4	4	4	4	4
151	"2,3,4,6-Tetrachlorophenol"	4	4	4	4	4
152	Methenamine	4	4	4	4	4
153	p-Bromodiphenyl_ether	4	4	4	4	4
154	Boscalid	4	4	4	4	4
155	Dodecyltrimethylammonium_chloride	4	4	4	4	4
156	Dibutyl_decanedioate	4	4	4	4	4
157	Reserpine	4	4	4	4	4
158	Quinclorac	4	4	4	4	4
159	Tebuconazole	4	4	4	4	4
160	Methyl_methanesulfonate	4	4	4	4	4
161	"3,4-Dichloronitrobenzene"	4	4	4	4	4
162	Coumarin	4	4	4	4	4
163	4-Nitrobenzoic_acid	4	4	4	4	4
164	Bispyribac-sodium	4	4	4	4	4
165	"2,2-Bis(4-hydroxyphenyl)-1,1,1-trichloroethane"	4	4	4	4	4
166	Nilutamide	4	4	4	4	4
167	Chlorethoxyfos	4	4	4	4	4
168	Dibutyl_phthalate	4	4	4	4	4
169	Diphenylamine	4	4	4	4	4
170	Pentachloropyridine	4	4	4	4	4
171	Dexamethasone_sodium_phosphate	4	4	4	4	4
172	"1,2,3,4-Tetrachlorobenzene"	4	4	4	4	4
173	Sodium_dodecylbenzenesulfonate	4	4	4	4	4
174	Trichlorfon	4	4	4	4	4
175	"1,3-Diphenylguanidine"	4	4	4	4	4
176	"1,2-Diphenylhydrazine"	4	4	4	4	4
177	Codeine	4	4	4	4	4
178	N-Nitrosodiethylamine	4	4	4	4	4
179	Testosterone_propionate	4	4	4	4	4
180	Triethoxyoctylsilane	4	4	4	4	4
181	Glutaraldehyde	4	4	4	4	4
182	Acetophenone	4	4	4	4	4
183	Triphenyltin_hydroxide	4	4	4	32	4
184	Methyl_2-aminobenzoate	4	4	4	4	4
185	Triglycidyl_isocyanurate	4	4	4	4	4
186	Spironolactone	4	4	4	4	4
187	Sulfasalazine	4	4	4	4	4
188	Cyclohexylamine	4	4	4	4	4
189	Methidathion	4	4	4	4	4
190	2-Amino-5-azotoluene	4	4	4	4	4
191	Di(2-ethylhexyl)_phthalate	4	4	4	4	4
192	"2E,4E-Hexadienoic_acid"	4	4	4	4	4
193	4-Nitroaniline	4	4	4	4	4
194	Diethylene_glycol_monomethyl_ether	4	4	4	4	4
195	Simvastatin	4	4	4	4	4
196	Kaempferol	4	4	4	4	4
197	4-Aminoazobenzene	4	4	4	4	4
198	Warfarin	4	4	4	4	4
199	Tebufenozide	4	4	4	4	4
200	Fulvestrant	4	4	4	4	4
201	Quercetin	4	4	4	4	4
202	Alachlor	4	4	4	4	4
203	Bronopol	4	4	4	4	4
204	"N,N,N,N-Tetrakis(2-hydroxypropyl)ethylenediamine"	4	4	4	4	4
205	17alpha-Ethinylestradiol	4	4	4	4	4
206	Fluconazole	4	4	4	4	4
207	Hydramethylnon	4	4	4	4	4
208	Acetamiprid	4	4	4	4	4
209	Cymoxanil	4	4	4	4	4
210	Diethyl_butanedioate	4	4	4	4	4
211	"2,4-Dichlorophenoxyacetic_acid"	4	4	4	4	4
212	Piperonyl_butoxide	4	4	4	4	4
213	Gentian_Violet	4	4	4	4	4
214	Diacetone_alcohol	4	4	4	4	4
215	Mirex	4	4	4	4	4
216	Flumiclorac-pentyl	4	4	4	4	4
217	Fenthion	4	4	4	4	4
218	Daidzein	4	4	4	4	4
219	"N,N-Diethylethanolamine"	4	4	4	4	4
220	Propanil	4	4	4	4	4
221	Sulpiride	4	4	4	4	4
222	S-Bioallethrin	4	4	4	4	4
223	Cyclohexanone	4	4	4	4	4
224	4-Octylphenol	4	4	4	4	4
225	Diuron	4	4	4	4	4
226	Perfluorohexanoic_acid	4	4	4	4	4
227	Methyleugenol	4	4	4	4	4
228	Diisodecyl_hexanedioate	4	4	4	4	4
229	4-Methyl-2-pentanol	4	4	4	4	4
230	PHA-00568487	4	4	4	4	4
231	Imazapyr	4	4	4	4	4
232	Ethyl_butyrate	4	4	4	4	4
233	"1-(Hydroxymethyl)-5,5-dimethylhydantoin"	4	4	4	4	4
234	5-Heptyldihydro-2(3H)-furanone	4	4	4	4	4
235	Acetyltriethyl_citrate	4	4	4	4	4
236	o-Cresol	4	4	4	4	4
237	Chlorothalonil	4	4	4	4	4
238	Sodium_erythorbate_(1_1)	4	4	4	4	4
239	Maltol	4	4	4	4	4
240	Metalaxyl	4	4	4	4	4
241	Ethalfluralin	4	4	4	4	4
242	Methomyl	4	4	4	4	4
243	Methylparaben	4	4	4	4	4
244	Fenitrothion	4	4	4	4	4
245	Cyclanilide	4	4	4	4	4
246	"3,7-Dimethyl-2,6-octadienal"	4	4	4	4	4
247	Carfentrazone-ethyl	4	4	4	4	4
248	4-Nonylphenol	4	4	4	4	4
249	Formamide	4	4	4	4	4
250	Butylbenzene	4	4	4	4	4
251	"2,6-Dinitrotoluene"	4	4	4	4	4
252	Chloramben	4	4	4	4	4
253	Pyraflufen-ethyl	4	4	4	4	4
254	6_2_Fluorotelomer_methacrylate	4	4	4	4	4
255	Penoxsulam	4	4	4	4	4
256	Dipropylene_glycol_monomethyl_ether	4	4	4	4	4
257	Spiroxamine	4	4	4	4	4
258	Spirodiclofen	4	4	4	4	4
259	Sodium_4-nitrophenolate	4	4	4	4	4
260	Cyclohexanol	4	4	4	4	4
261	Ammonium_perfluorooctanoate	4	4	4	4	4
262	Dimethyl_adipate	4	4	4	4	4
263	"2,4-Bis(1-methyl-1-phenylethyl)phenol"	4	4	4	4	4
264	Clotrimazole	4	4	4	4	4
265	Tetrabromophenolphthalein_ethyl_ester	4	4	4	4	4
266	Sulisobenzone	4	4	4	4	4
267	Kepone	4	4	4	4	4
268	8-Hydroxyquinoline	4	4	4	4	4
269	Acephate	4	4	4	4	4
270	Prometon	4	4	4	4	4
271	"N,N-Dimethyldecylamine_oxide"	4	4	4	4	4
272	"N,N,4-Trimethylaniline"	4	4	4	4	4
273	"3,3'-Dimethoxybenzidine_dihydrochloride"	4	4	4	4	4
274	Fenarimol	4	4	4	4	4
275	2-Naphthylamine	4	4	4	4	4
276	Pyridoxine	4	4	4	4	4
277	Tributylamine	4	4	4	4	4
278	L-Tartaric_acid	4	4	4	4	4
279	Isopentyl_butyrate	4	4	4	4	4
280	Carbosulfan	4	4	4	4	4
281	Undecane	4	4	4	4	4
282	"1,1'-Oxybis[2,3,4,5,6-pentabromobenzene]"	4	4	4	4	4
283	Chloromethyl_methyl_ether	4	4	4	4	4
284	Thidiazuron	4	4	4	4	4
285	Octanoic_acid	4	4	4	4	4
286	"4,4'-Diamino-3,3'-dimethyldiphenylmethane"	4	4	4	4	4
287	"1,2-Benzisothiazolin-3-one"	4	4	4	4	4
288	Benzal_chloride	4	4	4	4	4
289	2-Butoxyethanol	4	4	4	4	4
290	Propyzamide	4	4	4	4	4
291	Chlorendic_acid	4	4	4	4	4
292	Dimethomorph	4	4	4	4	4
293	Dimethenamid	4	4	4	4	4
294	"4,4',4''-Ethane-1,1,1-triyltriphenol"	4	4	4	4	4
295	"Dipropyl_2,5-pyridinedicarboxylate"	4	4	4	4	4
296	Perfluoroundecanoic_acid	4	4	4	4	4
297	Resorcinol	4	4	4	4	4
298	Nitrofurantoin	4	4	4	4	4
299	Benzyl-C8-18-alkyldimethylammonium_chlorides	4	4	4	4	4
300	Pentadecane	4	4	4	4	4
301	"N,N-Dimethylaniline"	4	4	4	4	4
302	2-Methoxy-5-methylaniline	4	4	4	4	4
303	Propofol	4	4	4	4	4
304	"2,5-Dimethyl-2,5-di-(tert-butylperoxy)hexane"	4	4	4	4	4
305	Imazaquin	4	4	4	4	4
306	(6)-Gingerol	4	4	4	4	4
307	"2,4-Dihydroxybenzophenone"	4	4	4	4	4
308	"2,4-Dimethylphenol"	4	4	4	4	4
309	Benzyl_alcohol	4	4	4	4	4
310	CJ-013610	4	4	4	4	4
311	2-Ethoxyethanol	4	4	4	4	4
312	Sodium_saccharin_hydrate	4	4	4	4	4
313	Nitrilotriacetic_acid	4	4	4	4	4
314	"1,4-Dibromobenzene"	4	4	4	4	4
315	Propylparaben	4	4	4	4	4
316	Sucrose_octaacetate	4	4	4	4	4
317	Bis(2-ethylhexyl)_nonanedioate	4	4	4	4	4
318	"1,5-Naphthalenediamine"	4	4	4	4	4
319	2-Methoxyethanol	4	4	4	4	4
320	Phenothiazine	4	4	4	4	4
321	Aspirin	4	4	4	4	4
322	Styrene_oxide	4	4	4	4	4
323	Diisopropyl_methylphosphonate	4	4	4	4	4
324	Octadecanoic_acid	4	4	4	4	4
325	2-Methylaniline	4	4	4	4	4
326	Dapsone	4	4	4	4	4
327	Azamethiphos	4	4	4	4	4
328	Imazapic	4	4	4	4	4
329	Ammonium_carbamate	4	4	4	4	4
330	Diphenyl_isophthalate	4	4	4	4	4
331	Cyproconazole	4	4	4	4	4
332	Methyl_isothiocyanate	4	4	4	4	4
333	4-tert-Butylphenol	4	4	4	4	4
334	Isoproterenol_hydrochloride	4	4	4	4	4
335	Monobutyl_phthalate	4	4	4	4	4
336	p-Cymene	4	4	4	4	4
337	Dazomet	4	4	4	4	4
338	FD&C_Blue_No._1	4	4	4	4	4
339	Diethanolamine	4	4	4	4	4
340	Triethyl_citrate	4	4	4	4	4
341	Butanoic_acid	4	4	4	4	4
342	Phenylmercuric_acetate	4	4	4	32	4
343	Phenol_red	4	4	4	4	4
344	Ziram	4	4	4	4	4
345	Z-Tetrachlorvinphos	4	4	4	4	4
346	2-Butanone_oxime	4	4	4	4	4
347	Azathioprine	4	4	4	4	4
348	Benzophenone	4	4	4	4	4
349	2-Mercaptobenzothiazole	4	4	4	4	4
350	PK_11195	4	4	4	4	4
351	Triphenyl_phosphite	4	4	4	4	4
352	"(2Z)-3,7-Dimethylocta-2,6-dien-1-ol"	4	4	4	4	4
353	Ethylene_thiourea	4	4	4	4	4
354	Cycloheximide	4	4	4	4	4
355	4-Aminofolic_acid	4	4	4	4	4
356	Hexachlorophene	4	4	4	4	4
357	2-tert-Butylphenol	4	4	4	4	4
358	Chlorpropham	4	4	4	4	4
359	delta-Hexachlorocyclohexane	4	4	4	4	4
360	Diflubenzuron	4	4	4	4	4
361	Rifampicin	4	4	4	4	4
362	Fluometuron	4	4	4	4	4
363	Tepraloxydim	4	4	4	4	4
364	Phenazone	4	4	4	4	4
365	"1,2-Phenylenediamine"	4	4	4	4	4
366	"4-(1,1,3,3-Tetramethylbutyl)phenol"	4	4	4	4	4
367	Butyl_benzoate	4	4	4	4	4
368	2-tert-Butyl-4-methoxyphenol	4	4	4	4	4
369	Butylparaben	4	4	4	4	4
370	Famotidine	4	4	4	4	4
371	Quinalphos	4	4	4	4	4
372	Triisononyl_trimellitate	4	4	4	4	4
373	Di(propylene_glycol)_dibenzoate	4	4	4	4	4
374	Diazoxon	4	4	4	4	4
375	Ethylene_glycol	4	4	4	4	4
376	2-Ethyl-1-hexanol	4	4	4	4	4
377	"2,4-Dinitrotoluene"	4	4	4	4	4
378	Didecyldimethylammonium_chloride	4	4	4	4	4
379	3-Hydroxyfluorene	4	4	4	4	4
380	Dexamethasone	4	4	4	4	4
381	Potassium_perfluorobutanesulfonate	4	4	4	4	4
382	Deisopropylatrazine	4	4	4	4	4
383	Zamifenacin	4	4	4	4	4
384	Tebufenpyrad	4	4	4	4	4
385	Strychnine	4	4	4	4	4
386	Tribufos	4	4	4	4	4
387	Aldicarb	4	4	4	4	4
388	Trifloxystrobin	4	4	4	4	4
389	Oxytetracycline_hydrochloride	4	4	4	4	4
390	Dibenzofuran	4	4	4	4	4
391	Clopyralid	4	4	4	4	4
392	Isophorone	4	4	4	4	4
393	Metoprolol	4	4	4	4	4
394	Zileuton	4	4	4	4	4
395	Diltiazem_hydrochloride	4	4	4	4	4
396	Glycidyl_trimethylammonium_chloride	4	4	4	4	4
397	Sulfotepp	4	4	4	4	4
398	Diethyl_phthalate	4	4	4	4	4
399	Isophorone_diisocyanate	4	4	4	4	4
400	"3,3'-Dimethylbenzidine"	4	4	4	4	4
401	Terbacil	4	4	4	4	4
402	Dimethoate	4	4	4	4	4
403	Bifenazate	4	4	4	4	4
404	Monocrotophos	4	4	4	4	4
405	Quinoxyfen	4	4	4	4	4
406	Tridemorph	4	4	4	4	4
407	"2-Methyl-2,4-pentanediol"	4	4	4	4	4
408	Allyl_alcohol	4	4	4	4	4
409	"Adipic_acid,_polypropyleneglycol,_laurate"	4	4	4	4	4
410	Triadimenol	4	4	4	4	4
411	Myclobutanil	4	4	4	4	4
412	Thiobencarb	4	4	4	4	4
413	DEET	4	4	4	4	4
414	EPTC	4	4	4	4	4
415	Thiram	4	4	4	4	4
416	"2,6-Dimethylaniline"	4	4	4	4	4
417	Methyl_ethyl_ketone	4	4	4	4	4
418	all-trans-Retinoic_acid	4	4	4	4	4
419	Genistein	4	4	4	4	4
420	Triphenyl_phosphate	4	4	4	4	4
421	"N,N-Dimethyloctylamine"	4	4	32	4	4
422	Tri-allate	4	4	4	4	4
423	"2,2',4,4'-Tetrahydroxybenzophenone"	4	4	4	4	4
424	Triethylene_glycol_dimethyl_ether	4	4	4	4	4
425	Cladribine	4	4	4	4	4
426	Fluroxypyr-meptyl	4	4	4	4	4
427	Tetraconazole	4	4	4	4	4
428	Aldicarb_oxime	4	4	4	4	4
429	N-Ethyl-3-methylaniline	4	4	4	4	4
430	Methacrylonitrile	4	4	4	4	4
431	Butam	4	4	4	4	4
432	Chlorpromazine_hydrochloride	4	4	4	4	4
433	Clove_leaf_oil	4	4	4	4	4
434	Symclosene	4	4	4	4	4
435	Diethylstilbestrol	4	4	4	4	4
436	"Fenpyroximate_(Z,E)"	4	4	4	4	4
437	Bensulide	4	4	4	4	4
438	Iodosulfuron-methyl-sodium	4	4	4	4	4
439	Fenoxaprop-P-ethyl	4	4	4	4	4
440	3'-Azido-3'-deoxythymidine	4	4	4	4	4
441	"1,2,3,4,5,6-Hexachlorocyclohexane"	4	4	4	4	4
442	Butylphthalyl_butylglycolate	4	4	4	4	4
443	p-Cresol	4	4	4	4	4
444	Diethylene_glycol_dimethyl_ether	4	4	4	4	4
445	Fipronil	4	4	4	4	4
446	Ibuprofen	4	4	4	4	4
447	Potassium_perfluorohexanesulfonate	4	4	4	4	4
448	N-Methyl-2-pyrrolidone	4	4	4	4	4
449	Diethyl_sulfate	4	4	4	4	4
450	Dichlorprop	4	4	4	4	4
451	Ethyl_heptanoate	4	4	4	4	4
452	beta-Hexachlorocyclohexane	4	4	4	4	4
453	"2,4,6-Trichlorophenol"	4	4	4	4	4
454	Fomesafen	4	4	4	4	4
455	Triethylene_glycol_diacetate	4	4	4	4	4
456	"1,2-Dibromoethane"	4	4	4	4	4
457	Tacrine	4	4	4	4	4
458	Chlorpyrifos-methyl	4	4	4	4	4
459	FD&C_Green_No._3	4	4	4	4	4
460	"p,p'-DDD"	4	4	4	4	4
461	"2,4-Di-tert-butylphenol"	4	4	4	4	4
462	"2,2'-Methylenebis(4-methyl-6-tert-butylphenol)"	4	4	4	4	4
463	Quizalofop-ethyl	4	4	4	4	4
464	"3,3'-Dimethoxybenzidine"	4	4	4	4	4
465	Glybenclamide	4	4	4	4	4
466	"4,4'-Dibromodiphenyl_ether"	4	4	4	4	4
467	Cyclosporin_A	4	4	4	4	4
468	Nicotine	4	4	4	4	4
469	"1H,1H,2H,2H-Perfluorooctyl_iodide"	4	4	8	4	4
470	MEHP	4	4	4	4	4
471	Fluoranthene	4	4	4	4	4
472	Ethanolamine	4	4	4	4	4
473	Urethane	4	4	4	4	4
474	Methoxyfenozide	4	4	4	4	4
475	10-Undecenoic_acid	4	4	4	4	4
476	Denatonium_saccharide	4	4	4	4	4
477	"1,2-Dimethyl-4-nitrobenzene"	4	4	4	4	4
478	Perfluoroheptanoic_acid	4	4	4	4	4
479	Resveratrol	4	4	4	4	4
480	"1,3-Diisopropylbenzene"	4	4	4	4	4
481	Perfluorononanoic_acid	4	4	4	4	4
482	Bromophenol_blue	4	4	4	4	4
483	Tamoxifen_citrate	4	4	4	4	4
484	"4-Nonylphenol,_branched"	4	4	4	4	4
485	Fluroxypyr	4	4	4	4	4
486	Zoxamide	4	4	4	4	4
487	Oxadiazon	4	4	4	4	4
488	Bis(2-ethylhexyl)_decanedioate	4	4	4	4	4
489	Mecoprop	4	4	4	4	4
490	p-Xylenol_blue	4	4	4	4	4
491	Fenamiphos	4	4	4	4	4
492	Norflurazon	4	4	4	4	4
493	Furosemide	4	4	4	4	4
494	Sodium_dodecyl_sulfate	4	4	4	4	4
495	Phenolphthalein	4	4	4	4	4
496	Procymidone	4	4	4	4	4
497	Terbutylazine	4	4	4	4	4
498	N-Methyldioctylamine	4	4	4	4	4
499	Aldrin	4	4	4	4	4
500	2-Ethoxyethyl_acetate	4	4	4	4	4
501	Nitrofurazone	4	4	4	4	4
502	1-Hexadecanol	4	4	4	4	4
503	Cyazofamid	4	4	4	4	4
504	CP-122721	4	4	4	4	4
505	Potassium_perfluorooctanesulfonate	4	4	4	4	4
506	Benzotrichloride	4	4	4	4	4
507	Iprodione	4	4	4	4	4
508	Oryzalin	4	4	4	4	4
509	Icaridin	4	4	4	4	4
510	Phosmet	4	4	4	4	4
511	Octylbicycloheptenedicarboximide	4	4	4	4	4
512	Dicumyl_peroxide	4	4	4	4	4
513	"1,4-Benzoquinone"	4	4	4	4	4
514	Tamoxifen	4	4	4	4	4
515	Carboxin	4	4	4	4	4
516	Diniconazole	4	4	4	4	4
517	Ethoprop	4	4	4	4	4
518	Theophylline	4	4	4	4	4
519	Biphenyl	4	4	4	4	4
520	Phenol	4	4	4	4	4
521	2-Ethylhexanoic_acid	4	4	4	4	4
522	Novaluron	4	4	4	4	4
523	Methimazole	4	4	4	4	4
524	Paraoxon	4	4	4	4	4
525	Hydroxyflutamide	4	4	4	4	4
526	(E)-Anethole	4	4	4	4	4
527	Nitrobenzene	4	4	4	4	4
528	Nalidixic_acid	4	4	4	4	4
529	Imazalil	4	4	4	4	4
530	Perfluorooctanoic_acid	4	4	4	4	4
531	Hexaconazole	4	4	4	4	4
532	Mifepristone	4	4	4	4	4
533	Ametryn	4	4	4	4	4
534	Levonorgestrel	4	4	4	4	4
535	Tefluthrin	4	4	4	4	4
536	"Tris(1,3-dichloro-2-propyl)_phosphate"	4	4	4	4	4
537	(-)-Epigallocatechin_gallate	4	4	4	4	4
538	Ethyl_phthalyl_ethyl_glycolate	4	4	4	4	4
539	Esfenvalerate	4	4	4	4	4
540	Buprofezin	4	4	4	4	4
541	4-Chloroaniline	4	4	4	4	4
542	Cresol	4	4	4	4	4
543	Dibutyl_adipate	4	4	4	4	4
544	N-Nitrosodibutylamine	4	4	4	4	4
545	Acrylamide	4	4	4	4	4
546	Indoxacarb	4	4	4	4	4
547	Tributyl_phosphate	4	4	4	4	4
548	2-Chloro-N-phenylacetamide	4	4	4	4	4
549	"2,3,6-Trimethylphenol"	4	4	4	4	4
550	"N,N-Diethylaniline"	4	4	4	4	4
551	"1,5,9-Cyclododecatriene"	4	4	4	4	4
552	2-Methyl-1-propanol	4	4	4	4	4
553	Fluthiacet-methyl	4	4	4	4	4
554	Vinclozolin	4	4	4	4	4
555	Permethrin	4	4	4	4	4
556	Maleic_hydrazide	4	4	4	4	4
557	Octhilinone	4	4	4	4	4
558	Dodecylbenzene_sulfonate_triethanolamine(1_1)	4	4	4	4	4
559	Bisphenol_A	4	4	4	4	4
560	Diclosulam	4	4	4	4	4
561	4-Dimethylaminoantipyrine	4	4	4	4	4
562	Diisobutyl_phthalate	4	4	4	4	4
563	Phenacetin	4	4	4	4	4
564	Chlorotrianisene	4	4	4	4	4
565	Bis(2-chloroethyl)_ether	4	4	4	4	4
566	3-Nitrotoluene	4	4	4	4	4
567	17-Methyltestosterone	4	4	4	4	4
568	Bisphenol_AF	4	4	4	4	4
569	Dimethyl_succinate	4	4	4	4	4
570	Fenamidone	4	4	4	4	4
571	Sodium_(2-pyridylthio)-N-oxide	4	4	4	4	4
572	Corticosterone	4	4	4	4	4
573	"1,4-Dichlorobenzene"	4	4	4	4	4
574	Dichlorophen	4	4	4	4	4
575	Piperazine	4	4	4	4	4
576	Gibberellic_acid	4	4	4	4	4
577	"2,3-Dinitrotoluene"	4	4	4	4	4
578	Cinmethylin	4	4	4	4	4
579	Isoxaflutole	4	4	4	4	4
580	Propiconazole	4	4	4	4	4
581	Butachlor	4	4	4	4	4
