Chemical.Number	Chemical.Name	Peak_Width_up	Peak_Width_dn	Peak_Frequency_up	Peak_Frequency_dn	Peak_Decay_Rise_Ratio_up	Total_Cells_zero	Peak_Frequency_zero	Peak_Spacing_CV_up
58	Benzo(e)pyrene	4	4	4	4	4	4	4	4
59	Triphenyl_phosphates_isopropylated	4	4	4	4	4	4	4	4
60	Parathion	4	4	4	4	4	4	4	4
61	8-Hydroxyquinoline	4	4	4	4	4	4	4	4
62	6-Propyl-2-thiouracil	4	4	4	4	4	4	4	4
63	2-Ethylhexyl_diphenyl_phosphate	4	4	4	4	4	4	4	4
64	Aspartame	4	4	4	4	4	4	4	4
65	Hexanedioic_acid	4	4	4	4	4	4	4	4
66	Dieldrin	4	4	4	4	4	4	4	4
67	Acenaphthene	4	4	4	4	4	4	4	4
68	Sodium_saccharin_hydrate	4	4	4	4	4	4	4	4
69	Heptachlor	4	4	4	4	4	4	4	4
70	D-Glucitol	4	4	4	4	4	4	4	4
71	Colchicine	4	4	4	4	4	4	4	4
72	Lindane	4	4	4	4	4	4	4	4
73	Phenanthrene	4	4	4	4	4	4	4	4
74	Aldicarb	4	4	4	4	4	4	4	4
75	Permethrin	4	4	4	4	4	4	4	4
76	Dazomet	4	4	4	4	4	4	4	4
77	Rotenone	4	4	4	4	4	4	4	4
78	Manganese(2)acetate	4	4	4	4	4	4	4	4
79	Captan	4	4	4	4	4	4	4	4
80	5-Fluorouracil	4	4	4	4	4	4	4	4
81	Hexachlorophene	4	4	4	4	4	4	4	4
82	"3,3'-Iminobispropanenitrile"	4	4	4	4	4	4	4	4
83	2-Phenylphenol	4	4	4	4	4	4	4	4
84	Myclobutanil	4	4	4	4	4	4	4	4
85	Acetochlor	4	4	4	4	4	4	4	4
86	"Hexachloro-1,3-butadiene"	4	4	4	4	4	4	4	4
87	Octhilinone	4	4	4	4	4	4	4	4
88	6-Thioguanine	4	4	4	4	4	4	4	4
89	tert-Butylphenyl_diphenyl_phosphate	4	4	4	4	4	4	4	4
90	Thalidomide	4	4	4	4	4	4	4	4
91	Sucrose	4	4	4	4	4	4	4	4
92	"3,3',5,5'-Tetrabromobisphenol_A"	4	4	4	4	4	4	4	4
93	Triphenyl_phosphate	4	4	4	4	4	4	4	4
94	Triamterene	4	4	4	4	4	4	4	4
95	(Methylcyclopentadienyl)tricarbonylmanganese	4	4	4	4	4	4	4	4
96	Benzoic_acid	4	4	4	4	4	4	4	4
97	Disulfiram	4	4	4	4	4	4	4	4
98	Anthracene	4	4	4	4	4	4	4	4
99	Acetaminophen	4	4	4	4	4	4	4	4
100	Aspirin	4	4	4	4	4	4	4	4
101	Acrylamide	4	4	4	4	4	4	4	4
102	Benz(a)anthracene	4	4	4	4	4	4	4	4
103	Azobenzene	4	4	4	4	4	4	4	4
104	Mifepristone2	4	4	4	4	4	4	4	4
105	Tebuconazole	4	4	4	4	4	4	4	4
106	Aldrin	4	4	4	4	4	4	4	4
107	Tris(methylphenyl)phosphate	4	4	4	4	4	4	4	4
108	Atenolol	4	4	4	4	4	4	4	4
109	L-Ascorbic_acid	4	4	4	4	4	4	4	4
110	Verapamil_hydrochloride	4	4	4	4	4	4	4	4
111	Benzo(k)fluoranthene	4	4	4	4	4	4	4	4
112	"Dibenz[a,c]anthracene"	4	4	4	4	4	4	4	4
113	Methylmercuric(2)chloride	4	4	4	4	4	4	4	4
114	Isodecyl_diphenyl_phosphate	4	4	4	4	4	4	4	4
115	tert-Butylhydroquinone	4	4	4	4	4	4	4	4
116	Deltamethrin	4	4	4	4	4	4	4	4
117	Fluorene	4	4	4	4	4	4	4	4
118	Pyrimethamine	4	4	4	4	4	4	4	4
119	Endosulfan	4	4	4	4	4	4	4	4
120	Ranitidine	4	4	4	4	4	4	4	4
121	Pyrene	4	4	4	4	4	4	4	4
122	Methylparaben	4	4	4	4	4	4	4	4
123	"1,4-Benzoquinone"	4	4	4	4	4	4	4	4
124	Propyl_gallate	4	4	4	4	4	4	4	4
125	Citric_acid	4	4	4	4	4	4	4	4
126	Sodium_valproate	4	4	4	4	4	4	4	4
127	Benzo(b)fluoranthene	4	4	4	4	4	4	4	4
128	Biotin	4	4	4	4	4	4	4	4
129	Dichlorodiphenyltrichloroethane	4	4	4	4	4	4	4	4
130	Hydroxyurea	4	4	4	4	4	4	4	4
131	Reserpine	4	4	4	4	4	4	4	4
132	Bisphenol_A	4	4	4	4	4	4	4	4
133	Progesterone	4	4	4	4	4	4	4	4
134	Diethylstilbestrol	4	4	4	4	4	4	4	4
135	Flutamide	4	4	4	4	4	4	4	4
136	Di(2-ethylhexyl)phthalate	4	4	4	4	4	4	4	4
137	Tamoxifen	4	4	4	4	4	4	4	4
138	Phenobarbital_sodium	4	4	4	4	4	4	4	4
141	TAB_Control	NA	NA	NA	NA	NA	NA	NA	NA
142	Isoproterenol_Control	NA	NA	NA	NA	NA	NA	NA	NA
143	Propranolol_Control	NA	NA	NA	NA	NA	NA	NA	NA
144	Cisapride_Control	NA	NA	NA	NA	NA	NA	NA	NA
